,BID NO,Items,Quantity,Department Name And Address,Start Date,End Date
0,GEM/2019/B/249702,All In One PC,Quantity Required: 5,"Ministry Of Finance
Department Of Revenue
Central Goods And Service Tax, Audit Commissionerate, Lucknow Central Board Of Excise And Customs (cbec)",04-06-2019 04:45 PM,12-06-2019 07:00 PM
1,GEM/2019/B/249735,Chairs-office,Quantity Required: 24,"Ministry Of Environment Forest And Climate Change
Na
Nehru Nagar Bhopal Indian Institute Of Forest Management (iifm) Bhopal Madhya Pradesh",04-06-2019 04:43 PM,12-06-2019 07:00 PM
2,GEM/2019/RA/9835,Restaurant Table,Quantity Required: 9,"Ministry Of Home Affairs
Central Armed Police Forces
28bn Indo Tibetan Border Police (itbp)",05-06-2019 02:40 PM,12-06-2019 07:00 PM
3,GEM/2019/B/250229,Air Conditioner,Quantity Required: 1,"Ministry Of Health And Family Welfare
Department Of Health And Family Welfare
Patna All India Institute Of Medical Sciences (aiims)",05-06-2019 04:10 PM,12-06-2019 07:00 PM
4,GEM/2019/B/249767,Spirit Level,Quantity Required: 23,"Ministry Of Defence
Department Of Defence
Hq Ce(p) Himank /border Roads Organisation N/a",04-06-2019 04:58 PM,12-06-2019 07:00 PM
5,GEM/2019/B/250232,"Package No. 1 - ATAL TINKERING LAB OF NITI AAYOG ELECTRONICS DEVELOPMENT, ROBOTICS, INTERNET OF THI",Quantity Required: 1,"Rajasthan
Education (elementary And Secondary) Department Rajasthan
Amet Rajasthan Council Of Secondary Education Rashtriya Madhyamik Shiksha Abhiyan (rmsa)",05-06-2019 04:19 PM,12-06-2019 07:00 PM
6,GEM/2019/B/250234,Multimedia Projectors,Quantity Required: 1,"Ministry Of Railways
Na
South Central Railway N/a",05-06-2019 04:20 PM,12-06-2019 07:00 PM
7,GEM/2019/B/250235,"Package No.3 ATAL TINKERING LAB OF NITI AAYOG MECHANICAL, ELECTRICAL And MEASUREMENT TOOLS",Quantity Required: 1,"Rajasthan
Education (elementary And Secondary) Department Rajasthan
Amet Rajasthan Council Of Secondary Education Rashtriya Madhyamik Shiksha Abhiyan (rmsa)",05-06-2019 04:24 PM,12-06-2019 07:00 PM
8,GEM/2019/RA/9840,STEEL BODY EVAPORATIVE COOLERS- DESERT COOLER,Quantity Required: 5,"Maharashtra
Tribal Development Department Maharashtra
Mantralaya, Mumbai N/a",05-06-2019 04:33 PM,12-06-2019 07:00 PM
9,GEM/2019/B/250237,Package No.2: ATAL TINKERING LAB OF NITI AAYOG RAPID PROTOTYPING TOOLS,Quantity Required: 1,"Rajasthan
Education (elementary And Secondary) Department Rajasthan
Amet Rajasthan Council Of Secondary Education Rashtriya Madhyamik Shiksha Abhiyan (rmsa)",05-06-2019 04:28 PM,12-06-2019 07:00 PM
